base_scenario,n_replicates,pooled_t_zone_deaths_k,pooled_total_deaths_n,t_zone_area_fraction_p0,pooled_t_zone_fraction,pooled_t_zone_density_ratio,pooled_binomial_p_value_greater,significant_0p05
strong_visible_T_zone,5,4525,5000,0.4444444444444445,0.905,11.907894736842104,0.0,True
T0p5_c0p005_ratio_1e2_local_activation,5,4525,5000,0.4444444444444445,0.905,11.907894736842104,0.0,True
T0p5_c0p0005_ratio_1e3_local_activation,5,4548,5000,0.4444444444444445,0.9096,12.577433628318586,0.0,True
T1e-1_c1e-4_ratio_1e3_local_activation,5,4661,5000,0.4444444444444445,0.9322,17.186578171091448,0.0,True
T0p5_c0p005_ratio_1e2_betaR2p5_betaT5p0,5,3848,5000,0.4444444444444445,0.7696,4.175347222222222,0.0,True
T0p5_c0p005_ratio_1e2_betaR3p5_betaT2p0,5,3865,5000,0.4444444444444445,0.773,4.256607929515418,0.0,True
T0p5_c0p005_ratio_1e2_betaR3p5_betaT3p0,5,4161,5000,0.4444444444444445,0.8322,6.199344457687723,0.0,True
T0p5_c0p005_ratio_1e2_betaR3p5_betaT5p0,5,4328,5000,0.4444444444444445,0.8656,8.050595238095239,0.0,True
T0p5_c0p005_ratio_1e2_betaR5p0_betaT1p2,5,4340,5000,0.4444444444444445,0.868,8.219696969696969,0.0,True
T0p5_c0p005_ratio_1e2_betaR5p0_betaT2p0,5,4498,5000,0.4444444444444445,0.8996,11.200199203187251,0.0,True
T0p5_c0p005_ratio_1e2_betaR5p0_betaT3p0,5,4525,5000,0.4444444444444445,0.905,11.907894736842104,0.0,True
T0p5_c0p005_ratio_1e2_betaR5p0_betaT5p0,5,4566,5000,0.4444444444444445,0.9132,13.150921658986176,0.0,True
T0p5_c0p005_ratio_1e2_betaR7p5_betaT1p2,5,4662,5000,0.4444444444444445,0.9324,17.24112426035503,0.0,True
T0p5_c0p005_ratio_1e2_betaR7p5_betaT2p0,5,4658,5000,0.4444444444444445,0.9316,17.02485380116959,0.0,True
T0p5_c0p005_ratio_1e2_betaR7p5_betaT3p0,5,4738,5000,0.4444444444444445,0.9476,22.604961832061072,0.0,True
T0p5_c0p005_ratio_1e2_betaR7p5_betaT5p0,5,4725,5000,0.4444444444444445,0.945,21.477272727272727,0.0,True
T1e-1_c1e-4_ratio_1e3_betaR2p5_betaT5p0,5,3908,5000,0.4444444444444445,0.7816,4.4734432234432235,0.0,True
T1e-1_c1e-4_ratio_1e3_betaR3p5_betaT2p0,5,4043,5000,0.4444444444444445,0.8086,5.280825496342738,0.0,True
T1e-1_c1e-4_ratio_1e3_betaR3p5_betaT3p0,5,4297,5000,0.4444444444444445,0.8594,7.640469416785207,0.0,True
T1e-1_c1e-4_ratio_1e3_betaR3p5_betaT5p0,5,4429,5000,0.4444444444444445,0.8858,9.695709281961472,0.0,True
T1e-1_c1e-4_ratio_1e3_betaR5p0_betaT1p2,5,4398,5000,0.4444444444444445,0.8796,9.132059800664452,0.0,True
T1e-1_c1e-4_ratio_1e3_betaR5p0_betaT2p0,5,4518,5000,0.4444444444444445,0.9036,11.716804979253114,0.0,True
T1e-1_c1e-4_ratio_1e3_betaR5p0_betaT3p0,5,4661,5000,0.4444444444444445,0.9322,17.186578171091448,0.0,True
T1e-1_c1e-4_ratio_1e3_betaR5p0_betaT5p0,5,4627,5000,0.4444444444444445,0.9254,15.50603217158177,0.0,True
T1e-1_c1e-4_ratio_1e3_betaR7p5_betaT1p2,5,4725,5000,0.4444444444444445,0.945,21.477272727272727,0.0,True
T1e-1_c1e-4_ratio_1e3_betaR7p5_betaT2p0,5,4720,5000,0.4444444444444445,0.944,21.071428571428573,0.0,True
T1e-1_c1e-4_ratio_1e3_betaR7p5_betaT3p0,5,4743,5000,0.4444444444444445,0.9486,23.069066147859925,0.0,True
T1e-1_c1e-4_ratio_1e3_betaR7p5_betaT5p0,5,4749,5000,0.4444444444444445,0.9498,23.650398406374503,0.0,True
T1e-1_c1e-4_ratio_1e3_betaR2p5_betaT3p0,5,3252,5000,0.4444444444444445,0.6504,2.3255148741418763,1.5031869169086396e-188,True
T0p5_c0p005_ratio_1e2_betaR2p5_betaT3p0,5,3165,5000,0.4444444444444445,0.633,2.1559945504087192,4.4768686996478396e-158,True
T1e-1_c1e-4_ratio_1e3_betaR3p5_betaT1p2,5,2541,5000,0.4444444444444445,0.5082,1.2916836112240748,8.735359562136549e-20,True
T0p5_c0p005_ratio_1e2_betaR3p5_betaT1p2,5,2532,5000,0.4444444444444445,0.5064,1.2824149108589953,8.67379230567031e-19,True
T0p5_c0p005_ratio_1e2_betaR2p5_betaT2p0,5,2435,5000,0.4444444444444445,0.487,1.1866471734892787,8.378213891067097e-10,True
T1e-1_c1e-4_ratio_1e3_betaR2p5_betaT2p0,5,2286,5000,0.4444444444444445,0.4572,1.052873986735446,0.03594569664296151,True
higher_death_rate,5,2219,5000,0.4444444444444445,0.4438,0.9973930240920532,0.5419760870831056,False
T0p5_c0p005_ratio_1e2,5,2210,5000,0.4444444444444445,0.442,0.9901433691756273,0.6411810494890742,False
T0p5_c0p005_ratio_1e2_betaR2p5_betaT1p2,5,2210,5000,0.4444444444444445,0.442,0.9901433691756273,0.6411810494890742,False
shorter_ERK_duration,5,2205,5000,0.4444444444444445,0.441,0.9861359570661896,0.6928636719377752,False
baseline,5,2187,5000,0.4444444444444445,0.4374,0.9718272307145397,0.8453497716659318,False
T0p5_c0p01_ratio_50,5,2179,5000,0.4444444444444445,0.4358,0.9655264090747961,0.8933712008009439,False
T0p5_c0p025_ratio_20,5,2172,5000,0.4444444444444445,0.4344,0.9600424328147101,0.9256556748190501,False
T1e-2_c1e-3_ratio_1e1,5,2153,5000,0.4444444444444445,0.4306,0.9452932911837022,0.9764822397490551,False
T1e-1_c1e-3_ratio_1e2,5,2142,5000,0.4444444444444445,0.4284,0.9368439468159553,0.9892708592616436,False
T1e-1_c1e-4_ratio_1e3,5,2142,5000,0.4444444444444445,0.4284,0.9368439468159553,0.9892708592616436,False
T1e-1_c1e-4_ratio_1e3_betaR2p5_betaT1p2,5,2142,5000,0.4444444444444445,0.4284,0.9368439468159553,0.9892708592616436,False
T1e-1_c1e-2_ratio_1e1,5,2135,5000,0.4444444444444445,0.427,0.9315008726003491,0.9937834287914862,False
T0p5_c0p0005_ratio_1e3,5,2119,5000,0.4444444444444445,0.4238,0.919385629989587,0.9984440003763801,False
T0p5_c0p00005_ratio_1e4,5,2119,5000,0.4444444444444445,0.4238,0.919385629989587,0.9984440003763801,False
T1e-2_c1e-4_ratio_1e2,5,2119,5000,0.4444444444444445,0.4238,0.919385629989587,0.9984440003763801,False
T1e-3_c1e-4_ratio_1e1,5,2113,5000,0.4444444444444445,0.4226,0.914877034984413,0.9991195282148404,False
stronger_T_zone_activation,5,2107,5000,0.4444444444444445,0.4214,0.9103871413757346,0.9995153224523434,False
larger_ERK_radius,5,2084,5000,0.4444444444444445,0.4168,0.8933470507544581,0.9999620209982057,False
